Metric,Value
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,13090
design__instance__area__class:antenna_cell,71251.5
antenna_diodes_count,7
route__net,26308
route__net__special,2
route__drc_errors__iter:0,57
route__wirelength__iter:0,2360654
route__drc_errors__iter:1,5
route__wirelength__iter:1,2360654
route__drc_errors__iter:2,5
route__wirelength__iter:2,2360656
route__drc_errors__iter:3,0
route__wirelength__iter:3,2360668
route__drc_errors__iter:4,6014
route__wirelength__iter:4,2359874
route__drc_errors__iter:5,4589
route__wirelength__iter:5,2359752
route__drc_errors__iter:6,3880
route__wirelength__iter:6,2359878
route__drc_errors__iter:7,3445
route__wirelength__iter:7,2359891
route__drc_errors__iter:8,3004
route__wirelength__iter:8,2359745
route__drc_errors__iter:9,2864
route__wirelength__iter:9,2359685
route__drc_errors__iter:10,2210
route__wirelength__iter:10,2360066
route__drc_errors__iter:11,1896
route__wirelength__iter:11,2360192
route__drc_errors__iter:12,1694
route__wirelength__iter:12,2360301
route__drc_errors__iter:13,1499
route__wirelength__iter:13,2360368
route__drc_errors__iter:14,1235
route__wirelength__iter:14,2360302
route__drc_errors__iter:15,916
route__wirelength__iter:15,2360318
route__drc_errors__iter:16,836
route__wirelength__iter:16,2360327
route__drc_errors__iter:17,1460
route__wirelength__iter:17,2359439
route__drc_errors__iter:18,418
route__wirelength__iter:18,2360030
route__drc_errors__iter:19,306
route__wirelength__iter:19,2360043
route__drc_errors__iter:20,184
route__wirelength__iter:20,2360162
route__drc_errors__iter:21,162
route__wirelength__iter:21,2360190
route__drc_errors__iter:22,122
route__wirelength__iter:22,2360198
route__drc_errors__iter:23,121
route__wirelength__iter:23,2360202
route__drc_errors__iter:24,108
route__wirelength__iter:24,2360213
route__drc_errors__iter:25,108
route__wirelength__iter:25,2360213
route__drc_errors__iter:26,97
route__wirelength__iter:26,2360234
route__drc_errors__iter:27,46
route__wirelength__iter:27,2360181
route__drc_errors__iter:28,42
route__wirelength__iter:28,2360183
route__drc_errors__iter:29,41
route__wirelength__iter:29,2360181
route__drc_errors__iter:30,38
route__wirelength__iter:30,2360181
route__drc_errors__iter:31,38
route__wirelength__iter:31,2360181
route__drc_errors__iter:32,7
route__wirelength__iter:32,2360188
route__drc_errors__iter:33,7
route__wirelength__iter:33,2360188
